5
Task 1,15,192
Task 2,1,12
Task 3,1,12
Task 4,1,12
Task 5,1,12
Task 6,1,12
Task 7,1,12
Task 8,1,12
Task 9,1,12
Task 10,1,12
Task 11,1,12
Task 12,1,12
Task 13,1,12
Task 14,1,12
Task 15,1,12
Task 16,1,12
Task 17,1,12
Task 18,1,12
Task 19,1,12
Task 20,1,12
Task 21,1,12
Task 22,1,12
Task 23,1,12
Task 24,1,12
Task 25,1,12
Task 26,1,12
Task 27,1,12
Task 28,1,12
Task 29,1,12
Task 30,1,12
Task 31,1,12
Task 32,1,12
Task 33,1,12
Task 34,1,12
Task 35,1,12
Task 36,1,12
Task 37,1,12
Task 38,1,12
Task 39,1,12
Task 40,1,12
Task 41,1,12
Task 42,1,12
Task 43,1,12
Task 44,1,12
Task 45,1,12
Task 46,1,12
Task 47,1,12
Task 48,1,12
Task 49,1,12
Task 50,1,12
Task 51,1,12
Task 52,1,12
Task 53,1,12
Task 54,1,12
Task 55,1,12
Task 56,1,12
Task 57,1,12
Task 58,1,12
Task 59,1,12
Task 60,1,12
Task 61,1,192
